attendance,date,division,f1_r1_clinch_a,f1_r1_clinch_l,f1_r1_distance_a,f1_r1_distance_l,f1_r1_ground_a,f1_r1_ground_l,f1_r1_kd,f1_r1_pass,f1_r1_rev,f1_r1_s_a,f1_r1_s_l,f1_r1_ss_a,f1_r1_ss_body_a,f1_r1_ss_body_l,f1_r1_ss_head_a,f1_r1_ss_head_l,f1_r1_ss_l,f1_r1_ss_leg_a,f1_r1_ss_leg_l,f1_r1_sub_a,f1_r1_td_a,f1_r1_td_l,f1_r2_clinch_a,f1_r2_clinch_l,f1_r2_distance_a,f1_r2_distance_l,f1_r2_ground_a,f1_r2_ground_l,f1_r2_kd,f1_r2_pass,f1_r2_rev,f1_r2_s_a,f1_r2_s_l,f1_r2_ss_a,f1_r2_ss_body_a,f1_r2_ss_body_l,f1_r2_ss_head_a,f1_r2_ss_head_l,f1_r2_ss_l,f1_r2_ss_leg_a,f1_r2_ss_leg_l,f1_r2_sub_a,f1_r2_td_a,f1_r2_td_l,f1_r3_clinch_a,f1_r3_clinch_l,f1_r3_distance_a,f1_r3_distance_l,f1_r3_ground_a,f1_r3_ground_l,f1_r3_kd,f1_r3_pass,f1_r3_rev,f1_r3_s_a,f1_r3_s_l,f1_r3_ss_a,f1_r3_ss_body_a,f1_r3_ss_body_l,f1_r3_ss_head_a,f1_r3_ss_head_l,f1_r3_ss_l,f1_r3_ss_leg_a,f1_r3_ss_leg_l,f1_r3_sub_a,f1_r3_td_a,f1_r3_td_l,f1_r4_clinch_a,f1_r4_clinch_l,f1_r4_distance_a,f1_r4_distance_l,f1_r4_ground_a,f1_r4_ground_l,f1_r4_kd,f1_r4_pass,f1_r4_rev,f1_r4_s_a,f1_r4_s_l,f1_r4_ss_a,f1_r4_ss_body_a,f1_r4_ss_body_l,f1_r4_ss_head_a,f1_r4_ss_head_l,f1_r4_ss_l,f1_r4_ss_leg_a,f1_r4_ss_leg_l,f1_r4_sub_a,f1_r4_td_a,f1_r4_td_l,f1_r5_clinch_a,f1_r5_clinch_l,f1_r5_distance_a,f1_r5_distance_l,f1_r5_ground_a,f1_r5_ground_l,f1_r5_kd,f1_r5_pass,f1_r5_rev,f1_r5_s_a,f1_r5_s_l,f1_r5_ss_a,f1_r5_ss_body_a,f1_r5_ss_body_l,f1_r5_ss_head_a,f1_r5_ss_head_l,f1_r5_ss_l,f1_r5_ss_leg_a,f1_r5_ss_leg_l,f1_r5_sub_a,f1_r5_td_a,f1_r5_td_l,f1_tot_clinch_a,f1_tot_clinch_l,f1_tot_distance_a,f1_tot_distance_l,f1_tot_ground_a,f1_tot_ground_l,f1_tot_kd,f1_tot_pass,f1_tot_rev,f1_tot_s_a,f1_tot_s_l,f1_tot_ss_a,f1_tot_ss_body_a,f1_tot_ss_body_l,f1_tot_ss_head_a,f1_tot_ss_head_l,f1_tot_ss_l,f1_tot_ss_leg_a,f1_tot_ss_leg_l,f1_tot_sub_a,f1_tot_td_a,f1_tot_td_l,f2_r1_clinch_a,f2_r1_clinch_l,f2_r1_distance_a,f2_r1_distance_l,f2_r1_ground_a,f2_r1_ground_l,f2_r1_kd,f2_r1_pass,f2_r1_rev,f2_r1_s_a,f2_r1_s_l,f2_r1_ss_a,f2_r1_ss_body_a,f2_r1_ss_body_l,f2_r1_ss_head_a,f2_r1_ss_head_l,f2_r1_ss_l,f2_r1_ss_leg_a,f2_r1_ss_leg_l,f2_r1_sub_a,f2_r1_td_a,f2_r1_td_l,f2_r2_clinch_a,f2_r2_clinch_l,f2_r2_distance_a,f2_r2_distance_l,f2_r2_ground_a,f2_r2_ground_l,f2_r2_kd,f2_r2_pass,f2_r2_rev,f2_r2_s_a,f2_r2_s_l,f2_r2_ss_a,f2_r2_ss_body_a,f2_r2_ss_body_l,f2_r2_ss_head_a,f2_r2_ss_head_l,f2_r2_ss_l,f2_r2_ss_leg_a,f2_r2_ss_leg_l,f2_r2_sub_a,f2_r2_td_a,f2_r2_td_l,f2_r3_clinch_a,f2_r3_clinch_l,f2_r3_distance_a,f2_r3_distance_l,f2_r3_ground_a,f2_r3_ground_l,f2_r3_kd,f2_r3_pass,f2_r3_rev,f2_r3_s_a,f2_r3_s_l,f2_r3_ss_a,f2_r3_ss_body_a,f2_r3_ss_body_l,f2_r3_ss_head_a,f2_r3_ss_head_l,f2_r3_ss_l,f2_r3_ss_leg_a,f2_r3_ss_leg_l,f2_r3_sub_a,f2_r3_td_a,f2_r3_td_l,f2_r4_clinch_a,f2_r4_clinch_l,f2_r4_distance_a,f2_r4_distance_l,f2_r4_ground_a,f2_r4_ground_l,f2_r4_kd,f2_r4_pass,f2_r4_rev,f2_r4_s_a,f2_r4_s_l,f2_r4_ss_a,f2_r4_ss_body_a,f2_r4_ss_body_l,f2_r4_ss_head_a,f2_r4_ss_head_l,f2_r4_ss_l,f2_r4_ss_leg_a,f2_r4_ss_leg_l,f2_r4_sub_a,f2_r4_td_a,f2_r4_td_l,f2_r5_clinch_a,f2_r5_clinch_l,f2_r5_distance_a,f2_r5_distance_l,f2_r5_ground_a,f2_r5_ground_l,f2_r5_kd,f2_r5_pass,f2_r5_rev,f2_r5_s_a,f2_r5_s_l,f2_r5_ss_a,f2_r5_ss_body_a,f2_r5_ss_body_l,f2_r5_ss_head_a,f2_r5_ss_head_l,f2_r5_ss_l,f2_r5_ss_leg_a,f2_r5_ss_leg_l,f2_r5_sub_a,f2_r5_td_a,f2_r5_td_l,f2_tot_clinch_a,f2_tot_clinch_l,f2_tot_distance_a,f2_tot_distance_l,f2_tot_ground_a,f2_tot_ground_l,f2_tot_kd,f2_tot_pass,f2_tot_rev,f2_tot_s_a,f2_tot_s_l,f2_tot_ss_a,f2_tot_ss_body_a,f2_tot_ss_body_l,f2_tot_ss_head_a,f2_tot_ss_head_l,f2_tot_ss_l,f2_tot_ss_leg_a,f2_tot_ss_leg_l,f2_tot_sub_a,f2_tot_td_a,f2_tot_td_l,fighter_1,fighter_1_detail_url,fighter_1_nn,fighter_2,fighter_2_detail_url,fighter_2_nn,location,referee,rounds,time,time_seconds,url,win_method,win_method_details,winner
12066,2019-10-18T00:00:00+00:00,Heavyweight Bout,0,0,22,4,0,0,0,0,0,22,4,22,3,1,14,1,4,5,2,0,0,0,0,0,41,13,0,0,0,0,0,41,13,41,8,3,32,9,13,1,1,0,0,0,0,0,45,15,0,0,0,0,0,45,15,45,5,2,37,10,15,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,108,32,0,0,0,0,0,108,32,108,16,6,83,20,32,9,6,0,0,0,0,0,34,20,0,0,0,0,0,34,20,34,4,4,19,6,20,11,10,0,0,0,0,0,51,35,0,0,0,0,0,51,35,51,15,15,25,11,35,11,9,0,0,0,0,0,66,38,0,0,0,0,0,66,38,66,8,6,42,16,38,16,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,151,93,0,0,0,0,0,151,93,151,27,25,86,33,93,38,35,0,0,0,Daniel Spitz,http://www.ufcstats.com/fighter-details/f86cb5f25d545e0e,"""The Daddy Long Legs""",Tanner Boser,http://www.ufcstats.com/fighter-details/04c8b08b16a5b99e,"""The Bulldozer""","Boston, Massachusetts, USA",Gary Forman,3,5:00,300,http://www.ufcstats.com/fight-details/1e3d3545b6dd13a7,Decision - Unanimous,David Tirelli 27 - 30.Nick Mahmood 27 - 30.Eric Colon 27 - 30.,Tanner Boser
7155,2019-10-26T00:00:00+00:00,Heavyweight Bout,6,2,50,12,0,0,0,0,0,56,14,56,3,0,44,7,14,9,7,0,0,0,7,5,42,12,0,0,1,0,0,54,21,49,2,2,43,12,17,4,3,0,0,0,0,0,33,8,0,0,0,0,0,33,8,33,3,1,25,3,8,5,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7,125,32,0,0,1,0,0,143,43,138,8,3,112,22,39,18,14,0,0,0,2,1,25,10,0,0,0,0,0,27,11,27,2,1,17,4,11,8,6,0,0,0,1,1,20,5,5,3,0,0,1,42,23,26,3,2,18,3,9,5,4,0,0,0,1,1,23,13,0,0,0,0,0,24,14,24,4,3,11,3,14,9,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,68,28,5,3,0,0,1,93,48,77,9,6,46,10,34,22,18,0,0,0,Raphael Pessoa,http://www.ufcstats.com/fighter-details/41f90012b86a11bf,"""Bebezao""",Jeff Hughes,http://www.ufcstats.com/fighter-details/6a11e325aa60ad02,"""Lights Out""","Kallang, Singapore",Thomas Fan,3,5:00,300,http://www.ufcstats.com/fight-details/3d9aeef58dd0b51b,Decision - Unanimous,Takeo Kobayashi 30 - 27.Evan Field 30 - 27.Howard Hughes 30 - 27.,Raphael Pessoa
20143,2019-11-02T00:00:00+00:00,Featherweight Bout,1,1,30,5,0,0,0,0,0,39,12,31,6,3,25,3,6,0,0,0,1,0,4,1,38,8,0,0,0,2,0,54,20,42,7,3,35,6,9,0,0,0,1,1,3,2,48,15,0,0,0,0,0,69,32,51,9,5,41,12,17,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,116,28,0,0,0,2,0,162,64,124,22,11,101,21,32,1,0,0,3,1,2,2,37,11,0,0,0,0,0,53,26,39,14,6,17,2,13,8,5,0,0,0,1,1,32,9,4,4,0,0,1,47,23,37,7,3,23,4,14,7,7,0,0,0,11,8,52,20,0,0,0,0,0,70,34,63,21,16,39,9,28,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,121,40,4,4,0,0,1,170,83,139,42,25,79,15,55,18,15,0,0,0,Julio Arce,http://www.ufcstats.com/fighter-details/1291edf2d566a71a,,Hakeem Dawodu,http://www.ufcstats.com/fighter-details/2c9d00968f818270,"""Mean""","New York City, New York, USA",Todd Ronald Anderson,3,5:00,300,http://www.ufcstats.com/fight-details/d7cbe2f23d75afd1,Decision - Split,Chris Lee 29 - 28.Eric Colon 28 - 29.Derek Cleary 28 - 29.,Hakeem Dawodu
11305,2019-11-09T00:00:00+00:00,Bantamweight Bout,2,1,18,9,8,1,0,1,1,30,12,28,9,6,17,4,11,2,1,0,0,0,0,0,15,5,6,2,0,0,1,29,15,21,4,2,13,2,7,4,3,0,0,0,3,3,32,11,4,3,0,0,0,52,30,39,9,6,27,10,17,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,65,25,18,6,0,1,2,111,57,88,22,14,57,16,35,9,5,0,0,0,0,0,20,13,6,2,0,1,0,28,16,26,11,8,8,2,15,7,5,0,2,2,1,0,9,7,2,1,0,1,1,16,10,12,2,1,7,4,8,3,3,0,4,2,1,0,23,7,1,0,0,0,0,26,8,25,6,3,17,2,7,2,2,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,52,27,9,3,0,2,1,70,34,63,19,12,32,8,30,12,10,0,9,6,Grigorii Popov,http://www.ufcstats.com/fighter-details/d3fa5c5955397532,,Davey Grant,http://www.ufcstats.com/fighter-details/113df4fde64735c6,"""Dangerous""","Moscow, Moscow, Russia",Vyacheslav  Kiselev,3,5:00,300,http://www.ufcstats.com/fight-details/f0418c2c989a5cde,Decision - Split,Howard Hughes 28 - 29.Paul Sutherland 29 - 28.Lukasz Porebski 28 - 29.,Davey Grant
10344,2019-11-16T00:00:00+00:00,Women's Bantamweight Bout,0,0,87,21,0,0,0,0,0,88,22,87,1,1,86,20,21,0,0,0,0,0,6,6,3,0,0,0,0,0,0,40,37,9,5,5,4,1,6,0,0,0,0,0,0,0,27,11,2,2,0,0,0,33,17,29,1,1,26,11,13,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,117,32,2,2,0,0,0,161,76,125,7,7,116,32,40,2,1,0,0,0,1,1,81,40,0,0,0,0,0,82,41,82,8,6,66,30,41,8,5,0,1,0,11,11,3,0,0,0,0,0,0,39,36,14,6,6,6,3,11,2,2,0,7,1,0,0,19,6,25,21,0,1,0,103,78,44,4,4,37,20,27,3,3,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,103,46,25,21,0,1,0,224,155,140,18,16,109,53,79,13,10,0,9,2,Vanessa Melo,http://www.ufcstats.com/fighter-details/9b7dfb3b7d99926a,"""Miss Simpatia""",Tracy Cortez,http://www.ufcstats.com/fighter-details/68d4a891e5cf2029,,"Sao Paulo, Sao Paulo, Brazil",Jerin Valel,3,5:00,300,http://www.ufcstats.com/fight-details/18e1b0df8da7010e,Decision - Unanimous,Hallison Pontes 27 - 29.Marcelo Vilhena 27 - 30.Sal D'amato 27 - 30.,Tracy Cortez
10816,2019-12-07T00:00:00+00:00,Middleweight Bout,0,0,57,24,0,0,0,0,0,57,24,57,11,10,46,14,24,0,0,0,0,0,0,0,71,35,0,0,0,1,0,71,35,71,17,13,54,22,35,0,0,1,1,1,1,0,54,32,0,0,1,0,0,55,32,55,12,9,43,23,32,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,182,91,0,0,1,1,0,183,91,183,40,32,143,59,91,0,0,1,1,1,0,0,24,9,0,0,0,0,0,24,9,24,2,0,16,5,9,6,4,0,0,0,1,1,38,16,0,0,0,0,0,39,17,39,3,2,30,10,17,6,5,0,1,0,0,0,33,13,0,0,0,0,0,33,13,33,3,3,25,5,13,5,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,95,38,0,0,0,0,0,96,39,96,8,5,71,20,39,17,14,0,1,0,Makhmud Muradov,http://www.ufcstats.com/fighter-details/ea7e5bc78d9de658,"""Mach""",Trevor Smith,http://www.ufcstats.com/fighter-details/f797f0c57a83353e,"""Hot Sauce""","Washington, DC, USA",Kevin Mulhall,3,4:09,249,http://www.ufcstats.com/fight-details/81af3b60203d92df,KO/TKO,Punch to Head At Distance,Makhmud Muradov
16811,2019-12-14T00:00:00+00:00,Middleweight Bout,3,2,19,10,22,14,2,2,0,46,26,44,7,6,37,20,26,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,19,10,22,14,2,2,0,46,26,44,7,6,37,20,26,0,0,0,1,1,4,4,12,3,1,1,0,0,1,20,11,17,4,3,11,4,8,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,12,3,1,1,0,0,1,20,11,17,4,3,11,4,8,2,1,0,0,0,Punahele Soriano,http://www.ufcstats.com/fighter-details/64facb6cc564262d,"""Puna""",Oskar Piechota,http://www.ufcstats.com/fighter-details/1cf7ccf64a5bf24e,"""Imadlo""","Las Vegas, Nevada, USA",Chris Tognoni,1,3:17,197,http://www.ufcstats.com/fight-details/30523303e8d85c25,KO/TKO,Punch to Head At Distance,Punahele Soriano
10651,2019-12-21T00:00:00+00:00,Bantamweight Bout,0,0,50,12,0,0,0,0,0,53,15,50,2,1,46,9,12,2,2,0,1,0,0,0,65,28,0,0,0,0,0,65,28,65,10,9,49,13,28,6,6,0,0,0,0,0,16,7,0,0,0,0,0,42,29,16,1,1,13,5,7,2,1,0,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,131,47,0,0,0,0,0,160,72,131,13,11,108,27,47,10,9,0,13,4,1,1,31,18,0,0,0,0,0,32,19,32,10,10,19,6,19,3,3,0,1,0,0,0,59,26,0,0,0,0,0,59,26,59,9,5,47,18,26,3,3,0,0,0,15,14,22,9,0,0,0,0,0,54,39,37,2,2,35,21,23,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,112,53,0,0,0,0,0,145,84,128,21,17,101,45,68,6,6,0,1,0,Heili Alateng,http://www.ufcstats.com/fighter-details/1897b7b913736a7c,"""The Mongolian Knight""",Ryan Benoit,http://www.ufcstats.com/fighter-details/20999e27ddd94bda,"""Baby Face""","Busan, South Korea",Thomas Fan,3,5:00,300,http://www.ufcstats.com/fight-details/15aa55a91cf848cf,Decision - Split,Anthony Dimitriou 29 - 28.Evan Field 28 - 29.Ben Cartlidge 29 - 28.,Heili Alateng
19040,2020-01-18T00:00:00+00:00,Women's Flyweight Bout,1,0,96,29,0,0,0,0,0,97,29,97,6,4,78,16,29,13,9,0,0,0,4,4,129,42,0,0,0,0,0,133,46,133,8,7,116,32,46,9,7,0,0,0,26,22,67,21,0,0,0,0,0,97,46,93,20,18,64,18,43,9,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,26,292,92,0,0,0,0,0,327,121,323,34,29,258,66,118,31,23,0,0,0,1,1,46,14,0,0,0,0,0,47,15,47,3,2,40,11,15,4,2,0,0,0,4,2,49,24,0,0,0,0,0,59,31,53,5,5,47,20,26,1,1,0,0,0,7,6,37,11,0,0,0,0,0,50,23,44,5,3,38,14,17,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,132,49,0,0,0,0,0,156,69,144,13,10,125,45,58,6,3,0,0,0,Sabina Mazo,http://www.ufcstats.com/fighter-details/70d2329a92864fdb,"""Colombian Queen""",JJ Aldrich,http://www.ufcstats.com/fighter-details/6fd953151d981979,,"Las Vegas, Nevada, USA",Chris Tognoni,3,5:00,300,http://www.ufcstats.com/fight-details/96fe84d051847591,Decision - Split,Adalaide Byrd 29 - 28.Chris Lee 28 - 29.Junichiro Kamijo 29 - 28.,Sabina Mazo
14533,2020-01-25T00:00:00+00:00,Featherweight Bout,3,3,12,4,2,0,1,0,0,17,7,17,7,5,10,2,7,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,12,4,2,0,1,0,0,17,7,17,7,5,10,2,7,0,0,1,1,1,1,1,8,3,0,0,0,0,0,11,6,9,1,1,8,3,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8,3,0,0,0,0,0,11,6,9,1,1,8,3,4,0,0,0,0,0,Herbert Burns,http://www.ufcstats.com/fighter-details/4f140403000158b5,"""The Blaze""",Nate Landwehr,http://www.ufcstats.com/fighter-details/583ee11abddfc581,"""The Train""","Raleigh, North Carolina, USA",Larry Carter,1,2:43,163,http://www.ufcstats.com/fight-details/901dbd1e6463c4ba,KO/TKO,Knee to Head In Clinch,Herbert Burns
